ShortName,FullName,LicensingAndAccreditation,EducationalServices,ReorganizationStatus,IDEKIS,Number,InstitutionsAddresses,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,global_id,PublicPhone,Email,WebSite,EducationPrograms,OrgType,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,geodata_center,geoarea
ГБОУ школа № 1220,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1220»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0005004
AccreditationExpires:14.04.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,14456,1220,More then 1 level,7717053947,771701001,1027700521760,бюджетное,Городское подчинение ДОНМ,Щербань Владимир Николаевич,"129075, ГОРОД МОСКВА, УЛИЦА АРГУНОВСКАЯ, 12, 2",1102901791,"PublicPhone:(495) 616-66-75

","Email:1220@edu.mos.ru

",sch1220.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1355
Date:09.03.2021

","PupilsQuantity:733
Date:09.03.2021

",0101000000DF12188A9CCF424004CEE2E5ACE84B40,
ГБОУ школа № 2073,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2073»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0006725
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003652
AccreditationExpires:25.05.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12905,2073,More then 1 level,5074019220,775101001,1035011454818,бюджетное,Городское подчинение ДОНМ,Марасанова Ольга Алексеевна,"108830, г. Москва, поселение Вороновское, п. ЛМС, микрорайон Центральный,д.34,стр.3",1102901792,"PublicPhone:(495) 850-73-73

","Email:2073@edu.mos.ru

",sch2073.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2197
Date:09.03.2021

","PupilsQuantity:1069
Date:09.03.2021

",010100000096F302F8709742401A52AB2B09A84B40,
ГБПОУ ОКГ «Столица»,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Образовательный комплекс градостроительства «Столица»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004938
AccreditationExpires:04.06.2024

LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004937
AccreditationExpires:04.06.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:нет

",действующее,13531,,More then 1 level,7725247657,772401001,1057725014137,бюджетное,Городское подчинение ДОНМ,Востриков Сергей Петрович,"115573, ГОРОД МОСКВА, БУЛЬВАР ОРЕХОВЫЙ, ДОМ 22",1102901793,"PublicPhone:(495) 393-08-63

","Email:stolitsa@edu.mos.ru

",stolitsa.mskobr.ru,Общее образование | основное общее образование # Общее образование | среднее общее образование # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,"PupilsQuantity:165
Date:09.03.2021

",,010100000092CDDDAA0FCD424042A7D7D97ED34B40,
ГБОУ школа № 90,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 имени Героя Советского Союза Е.Г. Ларикова»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004491
AccreditationExpires:14.05.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:нет

",действующее,13766,90,More then 1 level,7743043649,774301001,1027700481160,бюджетное,Городское подчинение ДОНМ,Волосков Виктор Вадимович,"125130, ГОРОД МОСКВА, ПЕРЕУЛОК НОВОПОДМОСКОВНЫЙ 4-Й, ДОМ 2А",1102901794,"PublicPhone:(495) 450-44-88

","Email:v90@edu.mos.ru

",sch90.mskobr.ru,Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:715
Date:09.03.2021

",,01010000004ED135D888C04240A2F59B673BE94B40,
ГБОУ школа № 2044,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004299
AccreditationExpires:05.06.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13362,2044,More then 1 level,7715731322,771501001,5087746613862,бюджетное,Городское подчинение ДОНМ,Максимова Елена Сергеевна,"127495, ГОРОД МОСКВА, ШОССЕ ДМИТРОВСКОЕ, ДОМ 165Е, КОРПУС 8",1102901795,"PublicPhone:(499) 761-01-30

","Email:2044@edu.mos.ru

",sch2044sv-new.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2310
Date:09.03.2021

","PupilsQuantity:1677
Date:09.03.2021

",01010000007636334B3BC542403676449B4DF74B40,
ГБОУ школа № 2107,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2107»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0011721
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004209
AccreditationExpires:29.04.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13475,2107,More then 1 level,7702833359,770201001,1147746187863,бюджетное,Городское подчинение ДОНМ,Наумова Елена Михайловна,"129110, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ ПЕРЕЯСЛАВСКАЯ, 1, СТРОЕНИЕ 1",1102901796,"PublicPhone:(495) 680-07-44

","Email:2107@edu.mos.ru

",sch2107.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2441
Date:09.03.2021

","PupilsQuantity:828
Date:09.03.2021

",01010000002266C681E4D0424091FB9BDE81E44B40,
ГБОУ школа № 806,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 806»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004115
AccreditationExpires:25.05.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13314,806,More then 1 level,7731173523,773101001,1027700507306,бюджетное,Городское подчинение ДОНМ,Смирнова Елена Ивановна,"121351, ГОРОД МОСКВА, УЛИЦА ПОЛОЦКАЯ, ДОМ 21",1102901797,"PublicPhone:(495) 417-92-20

","Email:806@edu.mos.ru

",sch806.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1817
Date:09.03.2021

","PupilsQuantity:819
Date:09.03.2021

",0101000000C90AC40705B542409C5464ADC3DD4B40,
ГБОУ школа № 1245,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1245»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004503
AccreditationExpires:05.06.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13751,1245,More then 1 level,7726032196,772601001,1027700445300,бюджетное,Городское подчинение ДОНМ,Маслова Ирина Николаевна,"117534, ГОРОД МОСКВА, УЛИЦА КИРОВОГРАДСКАЯ, ДОМ 42, КОРПУС 2",1102901798,"PublicPhone:(495) 387-22-22

","Email:1245@edu.mos.ru

",sch1245u.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2291
Date:09.03.2021

","PupilsQuantity:826
Date:09.03.2021

",0101000000E243285F3CCC4240B69ADAEB47CD4B40,
ГБОУ школа № 149,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004318
AccreditationExpires:07.06.2028

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13354,149,More then 1 level,7743928539,774301001,1147746634386,бюджетное,Городское подчинение ДОНМ,Донская Ирина Анатольевна,"125080, ГОРОД МОСКВА, УЛИЦА ВРУБЕЛЯ, ДОМ 6",1102901800,"PublicPhone:(499) 158-03-31

","Email:149@edu.mos.ru

",sch149.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:411
Date:09.03.2021

","PupilsQuantity:461
Date:09.03.2021

",01010000000A190681E9BF4240E6632CDF8DE64B40,
ГБОУ школа на проспекте Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа на проспекте Вернадского»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004626
AccreditationExpires:26.01.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13803,,More then 1 level,7729417973,772901001,1037700017596,бюджетное,Городское подчинение ДОНМ,Харитонова Ольга Юрьевна,"119571, ГОРОД МОСКВА, ПРОСПЕКТ ВЕРНАДСКОГО, 127, 2",1102901801,"PublicPhone:(495) 438-65-56

","Email:ocprv@edu.mos.ru

",schnpv.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1943
Date:09.03.2021

","PupilsQuantity:452
Date:09.03.2021

",0101000000C6ABD3D52EBE42408F8D7F6CAED34B40,
ГБОУ школа № 1794,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1794»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004688
AccreditationExpires:03.04.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13736,1794,More then 1 level,7713780268,771301001,5137746118131,бюджетное,Городское подчинение ДОНМ,Чуфистов Александр Сергеевич,"127540, ГОРОД МОСКВА, ПРОЕЗД КЕРАМИЧЕСКИЙ, ДОМ 47А",1102901802,"PublicPhone:(499) 900-69-00

","Email:1794@edu.mos.ru

",sch1794s.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:2296
Date:09.03.2021

","PupilsQuantity:1219
Date:09.03.2021

",0101000000AE6A1B7B94C84240CEEA804F1BEF4B40,
ГБОУ школа № 1508,Государственное бюджетное общеобразовательное учреждение города Москвы «Измайловская школа № 1508»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77A01
AccreditationNumber:0004548
AccreditationExpires:18.06.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13698,1508,More then 1 level,7719025840,771901001,1037700237728,бюджетное,Городское подчинение ДОНМ,Меламуд Вадим Эмильевич,"105043, г. Москва, ул. Первомайская, д. 65",1102901803,"PublicPhone:(499) 367-21-09

","Email:1508@edu.mos.ru

",gym1508.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2885
Date:09.03.2021

","PupilsQuantity:1253
Date:09.03.2021

",010100000068D20826C6E54240E68032FC40E64B40,
ГБОУ школа № 2121,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2121 имени Маршала Советского Союза С.К. Куркоткина»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004728
AccreditationExpires:25.05.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13874,2121,More then 1 level,7723929012,772301001,5147746421158,бюджетное,Городское подчинение ДОНМ,Чиркова Елизавета Константиновна,"109386, ГОРОД МОСКВА, УЛИЦА СТАВРОПОЛЬСКАЯ, 20",1102901804,"PublicPhone:(495) 359-37-10

","Email:2121@edu.mos.ru

",sch2121.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2624
Date:09.03.2021

","PupilsQuantity:759
Date:09.03.2021

",0101000000284AA95643E04240C37BA853DED64B40,
ГБОУ школа № 86 имени М.Е. Катукова,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 86 имени М.Е. Катукова»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004740
AccreditationExpires:15.04.2023

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13895,86,More then 1 level,7734039741,773401001,1037739458646,бюджетное,Городское подчинение ДОНМ,Самсонов Павел Иванович,"123592, Москва, ул. Маршала Катукова, д. 12, корп.3",1102901805,"PublicPhone:(495) 758-40-65

","Email:86@edu.mos.ru

",sch86sz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1391
Date:09.03.2021

","PupilsQuantity:446
Date:09.03.2021

",0101000000A8566CA990B3424038553A7259E74B40,
ГБОУ школа № 1552,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1552»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004562
AccreditationExpires:05.06.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13723,1552,More then 1 level,7724224992,772401001,1027739523734,бюджетное,Городское подчинение ДОНМ,Рафальская Ирина Владимировна,"115580, ГОРОД МОСКВА, УЛИЦА МУСЫ ДЖАЛИЛЯ, ДОМ 25",1102901806,"PublicPhone:(495) 396-16-00

","Email:1552@edu.mos.ru

",gymu1552.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1831
Date:09.03.2021

","PupilsQuantity:485
Date:09.03.2021

",010100000090916C76A2DF4240D48798EE7CCF4B40,
ГБОУ Вешняковская школа,Государственное бюджетное общеобразовательное учреждение города Москвы «Вешняковская школа»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004900
AccreditationExpires:18.06.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,14041,,More then 1 level,7720291042,772001001,1157746070129,бюджетное,Городское подчинение ДОНМ,Ткаченко Евгения Александровна,"111402, ГОРОД МОСКВА, АЛЛЕЯ ЖЕМЧУГОВОЙ, ДОМ 7",1102901807,"PublicPhone:(495) 370-51-00

","Email:veshsch@edu.mos.ru

",veshsch.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:3353
Date:09.03.2021

","PupilsQuantity:1685
Date:09.03.2021

",01010000009E7142AFCCE94240969D37B894DE4B40,
ГБОУ школа № 1575,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1575»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004662
AccreditationExpires:22.01.2028

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,13844,1575,More then 1 level,7714204845,771401001,1027700517514,бюджетное,Городское подчинение ДОНМ,Боброва Ирина Ивановна,"125319, г. Москва, ул. Усиевича, д. 6",1102901808,"PublicPhone:(499) 151-99-82

","Email:1575@edu.mos.ru

",lyc1575.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1499
Date:09.03.2021

","PupilsQuantity:431
Date:09.03.2021

",0101000000D623C92903C64240ABB4F1298DE64B40,
ГБОУ школа № 1212,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1212»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003429
AccreditationExpires:20.01.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12681,1212,More then 1 level,7728900440,772801001,1147748020826,бюджетное,Городское подчинение ДОНМ,Матюнина Любовь Александровна,"117574, ГОРОД МОСКВА, УЛИЦА ВИЛЬНЮССКАЯ, 14",1102901809,"PublicPhone:(495) 422-58-33

","Email:sh1212@edu.mos.ru

",sch1212.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:1719
Date:09.03.2021

","PupilsQuantity:783
Date:09.03.2021

",01010000002518FE61F3C242400E34B10A07CD4B40,
ГБОУ школа № 2099,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004076
AccreditationExpires:22.01.2028

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12698,2099,More then 1 level,7743939315,774301001,5147746102422,бюджетное,Городское подчинение ДОНМ,Макарова Ольга Евгеньевна,"125171, ГОРОД МОСКВА, УЛИЦА РАДИАТОРСКАЯ 3-Я, 8А",1102901810,"PublicPhone:(499) 159-13-24

","Email:2099@edu.mos.ru

",sch2099.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:647
Date:09.03.2021

","PupilsQuantity:485
Date:09.03.2021

",0101000000650D13F9DDBE4240D62F6B32B6E84B40,
ГБОУ школа № 1883 «Бутово»,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1883 «Бутово»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003835
AccreditationExpires:30.05.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12437,1883,More then 1 level,7727801856,772701001,1137746277580,бюджетное,Городское подчинение ДОНМ,Зерниченко Лариса Евгеньевна,"117042, ГОРОД МОСКВА, УЛИЦА ПОЛЯНЫ, ДОМ 53",1102901811,"PublicPhone:(495) 716-41-45

","Email:1883@edu.mos.ru

",sch1883uz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2364
Date:09.03.2021

","PupilsQuantity:1495
Date:09.03.2021

",010100000075C655E27BC64240B17721F455C64B40,
ГБОУ школа № 544,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004016
AccreditationExpires:14.12.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12677,544,More then 1 level,7724942834,772401001,5147746311334,бюджетное,Городское подчинение ДОНМ,Данилкина Татьяна Дмитровна,"115582, ГОРОД МОСКВА, ШОССЕ КАШИРСКОЕ, 116, 3",1102901812,"PublicPhone:(495) 392-27-27

","Email:544@edu.mos.ru

",sch544u.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:2147
Date:09.03.2021

","PupilsQuantity:1014
Date:09.03.2021

",0101000000562A0008ABDB4240395BDC8A39CD4B40,
ГБОУ школа № 1474,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1474»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003434
AccreditationExpires:29.05.2026

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,11520,1474,More then 1 level,7743023522,774301001,1027700460260,бюджетное,Городское подчинение ДОНМ,Курчаткина Ирина Евгеньевна,"125475, ГОРОД МОСКВА, УЛИЦА КЛИНСКАЯ, 22",1102901813,"PublicPhone:(495) 451-22-11

","Email:1474@edu.mos.ru

",sch1474s.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,общеобразовательная организация,"PupilsQuantity:4995
Date:09.03.2021

","PupilsQuantity:1985
Date:09.03.2021

",0101000000D429EAA2EFBE42405673425A5CEF4B40,
ГБОУ школа № 199,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 199»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003687
AccreditationExpires:28.05.2027

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:да

",действующее,12973,199,More then 1 level,7728006064,772801001,1037739633535,бюджетное,Городское подчинение ДОНМ,Моисеева Валентина Викторовна,"117036, ГОРОД МОСКВА, УЛИЦА ДМИТРИЯ УЛЬЯНОВА, 15, 1",1102901814,"PublicPhone:(499) 126-09-80

","Email:199@edu.mos.ru

",sch199uz.mskobr.ru,Общее образование | дошкольное образование # Общее образование | начальное общее образование # Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей,общеобразовательная организация,"PupilsQuantity:1487
Date:09.03.2021

","PupilsQuantity:945
Date:09.03.2021

",01010000000843946829C842406C163576C0D74B40,
ГБПОУ КСУ № 3,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж сферы услуг № 3»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012103
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004750
AccreditationExpires:12.03.2024

","FullTimeEdu:да
PartTimeEdu:да
FullPartTimeEdu:да
ExternalEdu:да
InFamilyEdu:да
HasPreschoolEdu:нет

",действующее,11681,3,More then 1 level,7709438340,770901001,1057709052290,бюджетное,Городское подчинение ДОНМ,Поташев Александр Юрьевич,"109029, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ КАЛИТНИКОВСКАЯ, ДОМ 36, СТРОЕНИЕ 1",1102901815,"PublicPhone:(495) 670-50-81

","Email:spo-3@edu.mos.ru

",college3.mskobr.ru,Профессиональное обучение # Общее образование | основное общее образование # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,"PupilsQuantity:27
Date:09.03.2021

",,01010000001EF072B890D742400C72D7B141DE4B40,
